"Reporter","Year","Sector","Subsector","Primary NAICS Code","NAICS Definition","Parent Company","City","County","Jurisdiction","Reported Emissions (MTCO2e)","Biogenic Carbon Dioxide (MTCO2e)","Carbon Dioxide (MTCO2e)","Methane (MTCO2e)","Nitrous Oxide (MTCO2e)","HFCs (MTCO2e)","PFCs (MTCO2e)","Sulfur Hexafluoride (MTCO2e)","Fluorinated - Other (MTCO2e)","Notes","Point Size","Location","Covered Emissions (MT CO2e)","CCA Status","Georeferenced Location"
"WaferTech LLC - Camas","2023","Manufacturing","Electronics Industry","334413","Semiconductor and Related Device Manufacturing","WaferTech LLC","Camas","Clark","Southwest Clean Air Agency","73,391","0","14,776","7","5,368","7,671","19,186","9,879","16,503",,"2","45.619569, -122.454955","73,259","Covered Entity","POINT (-122.454955 45.619569)"
"Fairchild AFB - Spokane Co.","2016","Government","National Security","928110","National Security","US Government","Fairchild Air Force Base","Spokane","Spokane Regional Clean Air Agency","11,287","0","11,275","5","6","0","0","0","0",,"1","47.641332, -117.644832",,,"POINT (-117.644832 47.641332)"
"bp Cherry Point Refinery - Blaine","2018","Petroleum Systems","Petroleum Refineries","324110","Petroleum Refineries","BP America Inc.","Blaine","Whatcom","Northwest Clean Air Agency","1,987,668","0","1,976,765","6,618","4,284","0","0","0","0",,"4","48.8864, -122.7353",,,"POINT (-122.7353 48.8864)"
"Matheson - Anacortes","2016","Petroleum Systems","Other Petroleum Systems","325120","Industrial Gas Manufacturing","Linde Gas North America LLC","Anacortes","Skagit","Northwest Clean Air Agency","55,071","0","55,071","0","0","0","0","0","0",,"2","48.467646, -122.554343",,,"POINT (-122.554343 48.467646)"
"KIROS Energy Marketing ULC - Calgary","2023","Supplier","Other Fuel Supplier","424720","Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)","Kiros Energy Marketing ULC","Calgary","MD of Foothills No. 31",,"82,643","0","82,312","98","234","0","0","0","0",,,,"37,318","Covered Entity",
"Hampton Lumber Mills Washington Inc. - Randle","2016","Wood Products","Lumber Mills","321113","Sawmills","Hampton Lumber Mills Washington Inc.","Randle","Lewis","Southwest Clean Air Agency","63,442","62,606","0","120","716","0","0","0","0",,"2","46.533743, -121.917906",,,"POINT (-121.917906 46.533743)"
"The Energy Authority, Inc. - Jacksonville","2022","Power","Marketer","221122","Electric Power Distribution","The Energy Authority, Inc.","Jacksonville","Duval",,"7,691",,,,,,,,,,,,,,
"Northwest Pipeline Willard C/S - Cook","2019","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Cook","Skamania","Southwest Clean Air Agency","30,842","0","28,544","2,283","16","0","0","0","0",,"2","45.778087, -121.626311",,,"POINT (-121.626311 45.778087)"
"Western Washington University - Bellingham","2012","Government","Education","611310","Colleges, Universities, and Professional Schools","Western Washington University","Bellingham","Whatcom","Northwest Clean Air Agency","11,924","0","11,912","6","7","0","0","0","0",,"1","48.736499, -122.484714",,,"POINT (-122.484714 48.736499)"
"McKinley Paper Co. - Washington Mill - Port Angeles","2020","Pulp and Paper","Other Pulp and Paper","322121","Paper (except Newsprint) Mills","McKinley Paper Co.","Port Angeles","Clallam","Olympic Region Clean Air Agency","72,035","66,823","394","4,053","765","0","0","0","0",,"2","48.134623, -123.467524",,,"POINT (-123.467524 48.134623)"
"Portland General Electric Company - Portland","2022","Power","IOU","2211","Electric Power Generation, Transmission and Distribution","Portland General Electric Company","Portland","Multnomah",,"168,311",,,,,,,,,,,,,,
"Simplot Feeders LTD. - Burbank","2013","Livestock","Cattle Feedlots","112112","Cattle Feedlots","J.R. Simplot Company","Burbank","Walla Walla","Ecology: Eastern Regional Office","26,027","0","0","1,874","24,153","0","0","0","0",,"2","46.133131, -118.90629",,,"POINT (-118.90629 46.133131)"
"Puget Sound Energy - Fredonia Generating Station - Mount Vernon","2012","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Puget Holdings LLC","Mount Vernon","Skagit","Northwest Clean Air Agency","28,514","0","28,477","15","21","0","0","0","0",,"2","48.4553, -122.435",,,"POINT (-122.435 48.4553)"
"Air Liquide Hydrogen Plant  - Anacortes","2020","Petroleum Systems","Other Petroleum Systems","325120","Industrial Gas Manufacturing","Air Liquide USA Inc.","Anacortes","Skagit","Northwest Clean Air Agency","61,784","0","61,784","0","0","0","0","0","0",,"2","48.465617, -122.556032",,,"POINT (-122.556032 48.465617)"
"Fairchild AFB - Spokane Co.","2014","Government","National Security","928110","National Security","US Government","Fairchild Air Force Base","Spokane","Spokane Regional Clean Air Agency","12,683","0","12,670","6","7","0","0","0","0",,"1","47.641332, -117.644832",,,"POINT (-117.644832 47.641332)"
"Puget Sound Energy LDC Facility - Bellevue","2020","Natural Gas Systems","Natural Gas Local Distribution Companies","221210","Natural Gas Distribution","Puget Holdings LLC","Bellevue","King","Puget Sound Clean Air Agency","64,322","0","1,144","63,178","1","0","0","0","0",,"2","47.61345, -122.19454",,,"POINT (-122.19454 47.61345)"
"LANXESS Corporation - Kalama","2017","Chemicals","Other Chemicals","325199","All Other Basic Organic Chemical Manufacturing","Emerald Performance Materials LLC","Kalama","Cowlitz","Southwest Clean Air Agency","67,725","0","67,655","32","38","0","0","0","0",,"2","46.02191, -122.85698",,,"POINT (-122.85698 46.02191)"
"Nutrien US LLC. - Kennewick","2020","Chemicals","Fertilizer Production","325311","Nitrogenous Fertilizer Manufacturing","Agrium US Inc.","Kennewick","Benton","Benton Clean Air Agency","144,928","0","10,847","1","134,080","0","0","0","0",,"3","46.165957, -119.017218",,,"POINT (-119.017218 46.165957)"
"Avista Corporation - supplier","2015","Supplier","Natural Gas Supplier",,,"Avista Corporation","Spokane","Spokane",,"914,651","0","913,708","431","513","0","0","0","0",,,,,,
